Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,8e-08,
Filter Frequency,7e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH2,CH2 Peak Detect
1.572640e-03,0.02,0.06
1.572720e-03,0.06,0.02
1.572800e-03,0.06,0.06
1.572880e-03,0.06,0.02
1.572960e-03,0.06,0.06
1.573040e-03,0.06,0.02
1.573120e-03,0.06,0.06
1.573200e-03,0.02,0.02
1.573280e-03,0.06,0.1
1.573360e-03,0.06,0.02
1.573440e-03,0.06,0.06
1.573520e-03,0.06,0.02
1.573600e-03,0.06,0.06
1.573680e-03,0.06,0.02
1.573760e-03,0.06,0.06
1.573840e-03,0.06,0.02
1.573920e-03,0.06,0.06
1.574000e-03,0.06,0.02
1.574080e-03,0.06,0.06
1.574160e-03,0.06,0.02
1.574240e-03,0.06,0.06
1.574320e-03,0.02,0.02
1.574400e-03,0.06,0.06
1.574480e-03,0.06,0.02
1.574560e-03,0.06,0.1
1.574640e-03,0.06,0.02
1.574720e-03,0.06,0.06
1.574800e-03,0.02,0.02
1.574880e-03,0.02,0.06
1.574960e-03,0.06,0.02
1.575040e-03,0.06,0.06
1.575120e-03,0.06,0.02
1.575200e-03,0.02,0.06
1.575280e-03,0.02,0.02
1.575360e-03,0.02,0.06
1.575440e-03,0.02,0.02
1.575520e-03,0.02,0.06
1.575600e-03,0.02,0.02
1.575680e-03,0.02,0.06
1.575760e-03,0.02,0.02
1.575840e-03,0.06,0.06
1.575920e-03,0.02,0.02
1.576000e-03,0.06,0.06
1.576080e-03,0.06,0.02
1.576160e-03,0.02,0.06
1.576240e-03,0.02,0.02
1.576320e-03,0.02,0.06
1.576400e-03,0.06,0.02
1.576480e-03,0.02,0.06
1.576560e-03,0.06,0.02
1.576640e-03,0.02,0.06
1.576720e-03,0.06,0.02
1.576800e-03,0.06,0.1
1.576880e-03,0.02,-0.02
